Yıl,Ay,Gün,Tarih,Saat,İşlem Türü,Harcama Kategorisi,Şehir,Tutar
2022,Mayıs,21,2022-05-21,10:51,Giyim,Zara,İstanbul,687.56
2022,Ocak,11,2022-01-11,14:47,Restoran,Pizza,Ankara,101.16
2023,Kasım,23,2023-11-23,13:41,Ulaşım,Benzin,İstanbul,317.06
2022,Eylül,26,2022-09-26,00:41,Giyim,LC Waikiki,Ankara,221.7
2022,Haziran,27,2022-06-27,12:16,Ulaşım,Benzin,İstanbul,491.39
2023,Mayıs,28,2023-05-28,19:01,Ulaşım,Otobüs,Ankara,186.23
2022,Mart,8,2022-03-24,06:19,Fatura,Su,Ankara,55.0
2023,Nisan,3,2023-04-03,12:18,Ulaşım,Benzin,Ankara,232.56
2024,Şubat,27,2024-02-11,05:10,Fatura,İnternet,İstanbul,80.0
2022,Ağustos,5,2022-08-05,09:02,Ulaşım,Taksi,Ankara,142.42
2022,Kasım,15,2022-11-15,09:48,Ulaşım,Taksi,İzmir,468.65
2022,Eylül,10,2022-09-19,02:19,Fatura,İnternet,İstanbul,88.0
2023,Temmuz,11,2023-07-11,14:28,Restoran,Pizza,İstanbul,50.92
2022,Aralık,13,2022-12-13,23:03,Giyim,LC Waikiki,İstanbul,887.16
2022,Ocak,6,2022-01-06,14:25,Restoran,Pizza,Ankara,132.86
2024,Şubat,21,2024-02-21,14:03,Restoran,Fast Food,İzmir,42.08
2022,Eylül,10,2022-09-25,21:18,Fatura,Su,İstanbul,55.0
2024,Nisan,11,2024-04-11,12:05,Restoran,Fast Food,Ankara,171.97
2023,Aralık,2,2023-12-02,01:00,Ulaşım,Taksi,İstanbul,198.77
2023,Eylül,27,2023-09-27,03:20,Giyim,H&M,İzmir,653.62
2022,Ekim,15,2022-10-15,13:44,Restoran,Kebap,İzmir,145.2
2024,Haziran,3,2024-06-03,06:12,Giyim,LC Waikiki,İzmir,483.81
2023,Ağustos,25,2023-08-24,04:30,Fatura,İnternet,Ankara,84.0
2024,Nisan,21,2024-04-21,13:50,Restoran,Kebap,İstanbul,120.56
2024,Ocak,14,2024-01-14,12:15,Giyim,H&M,İzmir,955.54
2024,Mart,8,2024-03-08,14:48,Restoran,Pizza,İstanbul,101.03
2023,Ocak,26,2023-01-26,02:28,Giyim,H&M,İstanbul,263.3
2024,Ocak,28,2024-01-28,06:21,Ulaşım,Taksi,İstanbul,334.8
2022,Şubat,15,2022-02-15,21:05,Ulaşım,Otobüs,Ankara,43.2
2022,Mart,9,2022-03-09,20:38,Giyim,Zara,İstanbul,558.54
2022,Kasım,13,2022-11-24,21:09,Fatura,İnternet,Ankara,88.0
2022,Temmuz,3,2022-07-03,21:16,Ulaşım,Otobüs,İstanbul,207.75
2022,Ağustos,13,2022-08-12,11:25,Fatura,Elektrik,İstanbul,110.0
2024,Ocak,18,2024-01-18,12:25,Restoran,Pizza,Ankara,41.97
2024,Mart,3,2024-03-03,13:37,Ulaşım,Benzin,Ankara,272.77
2022,Haziran,10,2022-06-10,08:20,Ulaşım,Taksi,İzmir,357.96
2024,Mart,13,2024-03-13,12:16,Restoran,Kebap,İstanbul,170.29
2022,Aralık,15,2022-12-15,14:22,Restoran,Kebap,İzmir,177.72
2024,Mayıs,6,2024-05-06,08:05,Ulaşım,Taksi,İzmir,189.27
2024,Mayıs,7,2024-05-21,20:44,Fatura,Su,Ankara,50.0
2023,Kasım,25,2023-11-25,06:57,Giyim,H&M,İzmir,347.95
2023,Nisan,25,2023-04-14,00:58,Fatura,Elektrik,İzmir,105.0
2024,Ocak,27,2024-01-27,16:30,Giyim,LC Waikiki,Ankara,751.75
2023,Mart,23,2023-03-23,06:42,Giyim,Zara,İzmir,709.44
2022,Ağustos,1,2022-08-01,13:52,Restoran,Fast Food,İzmir,128.48
2023,Ocak,1,2023-01-01,21:06,Ulaşım,Taksi,İstanbul,456.78
2023,Kasım,21,2023-11-21,12:54,Restoran,Kebap,İstanbul,107.45
2024,Nisan,24,2024-04-24,22:39,Ulaşım,Otobüs,İstanbul,274.1
2024,Nisan,1,2024-04-01,12:01,Restoran,Fast Food,İzmir,196.44
2024,Mart,16,2024-03-11,16:02,Fatura,Elektrik,Ankara,100.0
2024,Haziran,24,2024-06-13,13:18,Fatura,Su,Ankara,50.0
2024,Şubat,9,2024-02-09,12:44,Restoran,Kebap,Ankara,173.26
2022,Aralık,1,2022-12-01,12:19,Restoran,Pizza,İstanbul,65.28
2022,Ağustos,13,2022-08-06,03:21,Fatura,Elektrik,Ankara,110.0
2023,Ocak,10,2023-01-10,19:02,Giyim,Zara,İzmir,494.01
2024,Nisan,12,2024-04-12,14:58,Restoran,Pizza,İzmir,30.22
2024,Ocak,21,2024-01-11,18:36,Fatura,Elektrik,Ankara,100.0
2022,Aralık,18,2022-12-18,14:13,Restoran,Kebap,Ankara,34.02
2023,Mart,4,2023-03-04,09:45,Ulaşım,Taksi,İzmir,163.59
2023,Temmuz,9,2023-07-09,12:31,Restoran,Fast Food,İstanbul,168.98
2023,Nisan,23,2023-04-23,07:45,Ulaşım,Taksi,İzmir,381.81
2023,Ekim,20,2023-10-07,17:30,Fatura,Su,İstanbul,52.5
2024,Temmuz,9,2024-07-09,02:49,Giyim,H&M,Ankara,353.86
2023,Temmuz,20,2023-07-20,12:45,Restoran,Pizza,İzmir,100.83
2022,Ekim,18,2022-10-18,15:30,Giyim,H&M,İstanbul,693.27
2023,Eylül,13,2023-09-13,20:05,Giyim,H&M,İzmir,241.66
2023,Mayıs,10,2023-05-10,05:19,Ulaşım,Taksi,İzmir,58.72
2024,Şubat,1,2024-02-01,12:17,Restoran,Kebap,Ankara,45.27
2024,Ocak,2,2024-01-02,12:16,Ulaşım,Benzin,İstanbul,434.2
2022,Eylül,10,2022-09-10,00:50,Ulaşım,Taksi,Ankara,422.75
2022,Haziran,21,2022-06-21,11:20,Ulaşım,Otobüs,İzmir,232.85
2022,Nisan,4,2022-04-04,14:57,Ulaşım,Taksi,Ankara,15.76
2022,Ekim,3,2022-10-03,08:52,Giyim,Zara,İstanbul,757.75
2022,Ekim,19,2022-10-19,21:26,Ulaşım,Otobüs,İstanbul,157.45
2023,Aralık,10,2023-12-10,13:47,Restoran,Fast Food,İstanbul,175.51
2022,Temmuz,12,2022-07-08,09:54,Fatura,Elektrik,İstanbul,110.0
2024,Mayıs,17,2024-05-17,11:55,Ulaşım,Benzin,İzmir,31.69
2023,Eylül,10,2023-09-10,00:11,Giyim,LC Waikiki,Ankara,840.82
2023,Şubat,27,2023-02-27,18:41,Ulaşım,Otobüs,İzmir,259.63
2022,Nisan,16,2022-04-16,12:41,Ulaşım,Otobüs,İzmir,114.73
2023,Temmuz,21,2023-07-06,00:54,Fatura,İnternet,İzmir,84.0
2024,Mayıs,10,2024-05-10,13:40,Ulaşım,Benzin,İzmir,89.98
2024,Mart,16,2024-03-10,17:32,Fatura,Su,Ankara,50.0
2023,Ocak,13,2023-01-13,13:18,Ulaşım,Benzin,İstanbul,435.45
2022,Ocak,6,2022-01-06,13:48,Restoran,Fast Food,İstanbul,146.64
2023,Ağustos,8,2023-08-08,21:37,Giyim,H&M,İzmir,78.69
2024,Haziran,3,2024-06-03,14:34,Restoran,Fast Food,İzmir,52.28
2023,Haziran,19,2023-06-19,12:52,Ulaşım,Benzin,Ankara,11.93
2022,Ağustos,12,2022-08-12,10:10,Ulaşım,Taksi,Ankara,425.98
2024,Ocak,21,2024-01-10,16:20,Fatura,Su,İzmir,50.0
2023,Aralık,12,2023-12-12,12:48,Restoran,Kebap,İzmir,187.39
2023,Mart,26,2023-03-02,07:33,Fatura,Elektrik,İstanbul,105.0
2022,Ekim,25,2022-10-09,19:20,Fatura,Elektrik,Ankara,110.0
2022,Nisan,25,2022-04-25,12:09,Restoran,Fast Food,İzmir,188.48
2024,Nisan,21,2024-04-21,17:07,Giyim,H&M,Ankara,229.6
2022,Şubat,6,2022-02-09,01:16,Fatura,İnternet,İstanbul,88.0
2024,Nisan,4,2024-04-04,23:52,Ulaşım,Otobüs,İstanbul,64.19
2023,Ocak,5,2023-01-05,13:06,Restoran,Fast Food,İstanbul,85.5
2022,Şubat,27,2022-02-27,13:14,Restoran,Pizza,İzmir,123.85
2022,Kasım,13,2022-11-13,10:42,Fatura,Su,İstanbul,55.0
2022,Ağustos,17,2022-08-17,18:19,Giyim,LC Waikiki,İstanbul,956.29
2023,Nisan,12,2023-04-12,12:23,Restoran,Kebap,İstanbul,189.94
2024,Mart,10,2024-03-10,21:57,Ulaşım,Otobüs,İzmir,316.33
2023,Eylül,11,2023-09-21,23:01,Fatura,İnternet,İzmir,84.0
2022,Şubat,24,2022-02-24,22:51,Giyim,LC Waikiki,İzmir,317.12
2024,Mayıs,5,2024-05-05,13:06,Giyim,H&M,Ankara,787.21
2022,Nisan,4,2022-04-04,00:26,Ulaşım,Otobüs,İstanbul,374.2
2023,Temmuz,21,2023-07-11,23:38,Fatura,Elektrik,İzmir,105.0
2022,Ekim,17,2022-10-17,02:20,Giyim,H&M,İzmir,975.5
2024,Mayıs,25,2024-05-25,23:30,Giyim,LC Waikiki,İstanbul,775.09
2024,Nisan,12,2024-04-12,12:49,Restoran,Pizza,İstanbul,131.03
2022,Haziran,15,2022-06-15,13:52,Restoran,Fast Food,Ankara,28.38
2024,Ocak,12,2024-01-12,14:31,Restoran,Fast Food,İstanbul,86.83
2023,Nisan,24,2023-04-24,14:25,Restoran,Pizza,İstanbul,103.84
2023,Ocak,13,2023-01-13,13:27,Restoran,Kebap,İstanbul,135.36
2022,Aralık,16,2022-12-08,22:51,Fatura,İnternet,Ankara,88.0
2024,Temmuz,19,2024-07-19,03:45,Ulaşım,Taksi,Ankara,114.37
2022,Haziran,2,2022-06-02,10:16,Giyim,H&M,İstanbul,745.76
2022,Ocak,9,2022-01-09,07:28,Ulaşım,Taksi,Ankara,48.41
2022,Şubat,20,2022-02-20,01:39,Ulaşım,Taksi,İstanbul,266.47
2023,Temmuz,16,2023-07-16,01:36,Giyim,H&M,İstanbul,620.34
2022,Şubat,10,2022-02-10,11:46,Giyim,Zara,Ankara,818.94
2024,Ocak,22,2024-01-22,13:44,Restoran,Kebap,Ankara,136.08
2022,Eylül,25,2022-09-25,23:20,Giyim,Zara,Ankara,615.45
2022,Haziran,22,2022-06-22,14:20,Restoran,Kebap,İzmir,138.35
2023,Mart,26,2023-03-18,09:20,Fatura,İnternet,İstanbul,84.0
2024,Şubat,25,2024-02-25,13:43,Restoran,Kebap,İzmir,137.82
2022,Mayıs,27,2022-05-27,13:30,Ulaşım,Benzin,Ankara,199.42
2024,Mart,16,2024-03-23,08:04,Fatura,Elektrik,İstanbul,100.0
2022,Ağustos,13,2022-08-16,15:18,Fatura,Su,İstanbul,55.0
2023,Nisan,6,2023-04-06,23:34,Ulaşım,Otobüs,İstanbul,398.38
2022,Nisan,24,2022-04-24,12:58,Giyim,H&M,İzmir,245.87
2024,Mayıs,7,2024-05-04,02:32,Fatura,Elektrik,İstanbul,100.0
2024,Ocak,21,2024-01-21,20:10,Giyim,LC Waikiki,İstanbul,636.53
2023,Ocak,15,2023-01-15,14:10,Restoran,Kebap,İzmir,107.36
2023,Mayıs,20,2023-05-20,14:24,Giyim,H&M,İstanbul,943.26
2023,Kasım,14,2023-11-20,12:42,Fatura,Elektrik,Ankara,105.0
2023,Mayıs,5,2023-05-05,12:56,Ulaşım,Benzin,İstanbul,307.86
2022,Şubat,18,2022-02-18,08:52,Ulaşım,Taksi,İstanbul,216.89
2023,Kasım,14,2023-11-23,11:07,Fatura,Su,Ankara,52.5
2022,Aralık,27,2022-12-27,12:06,Restoran,Fast Food,Ankara,126.7
2023,Mayıs,8,2023-05-08,02:01,Giyim,H&M,İzmir,779.4
2024,Nisan,5,2024-04-05,03:13,Giyim,Zara,İstanbul,573.14
2023,Ekim,20,2023-10-02,08:03,Fatura,Su,Ankara,52.5
2023,Şubat,22,2023-02-22,07:40,Ulaşım,Taksi,İzmir,207.35
2023,Aralık,27,2023-12-27,17:16,Giyim,LC Waikiki,İzmir,707.69
2023,Aralık,14,2023-12-14,07:55,Ulaşım,Otobüs,Ankara,120.31
2022,Aralık,16,2022-12-17,19:05,Fatura,İnternet,Ankara,88.0
2022,Haziran,4,2022-06-04,13:54,Ulaşım,Benzin,İzmir,416.37
2024,Ocak,21,2024-01-25,19:31,Fatura,İnternet,İzmir,80.0
2024,Temmuz,14,2024-07-14,14:06,Restoran,Kebap,İzmir,127.2
2023,Mayıs,20,2023-05-20,21:35,Ulaşım,Taksi,İstanbul,359.61
2024,Ocak,20,2024-01-20,21:05,Giyim,Zara,İzmir,490.96
2023,Ocak,9,2023-01-09,02:31,Ulaşım,Otobüs,Ankara,388.96
2022,Aralık,16,2022-12-01,06:55,Fatura,İnternet,İzmir,88.0
2023,Haziran,9,2023-06-12,23:44,Fatura,Elektrik,Ankara,105.0
2024,Mart,24,2024-03-24,12:29,Ulaşım,Benzin,Ankara,224.0
2022,Temmuz,24,2022-07-24,02:20,Giyim,LC Waikiki,Ankara,605.55
2023,Eylül,27,2023-09-27,09:06,Giyim,LC Waikiki,İstanbul,257.03
2023,Ekim,5,2023-10-05,23:24,Ulaşım,Otobüs,İstanbul,363.33
2022,Ağustos,19,2022-08-19,12:45,Ulaşım,Benzin,İzmir,313.26
2024,Şubat,27,2024-02-06,10:08,Fatura,Su,İzmir,50.0
2023,Şubat,14,2023-02-14,05:15,Giyim,LC Waikiki,İstanbul,689.35
2023,Eylül,11,2023-09-25,22:56,Fatura,Su,İzmir,52.5
2023,Şubat,14,2023-02-04,01:52,Fatura,Su,İzmir,52.5
2022,Ekim,25,2022-10-25,13:19,Restoran,Fast Food,İzmir,23.73
2024,Mart,27,2024-03-27,09:27,Giyim,H&M,İzmir,311.24
2024,Mayıs,12,2024-05-12,02:40,Ulaşım,Taksi,İstanbul,457.75
2023,Mayıs,7,2023-05-18,13:14,Fatura,Su,İzmir,52.5
2024,Mayıs,7,2024-05-01,21:02,Fatura,Su,İzmir,50.0
2023,Eylül,8,2023-09-08,18:15,Giyim,LC Waikiki,Ankara,392.94
2023,Temmuz,25,2023-07-25,10:26,Ulaşım,Taksi,İstanbul,338.7
2023,Kasım,14,2023-11-21,01:46,Fatura,Su,İstanbul,52.5
2023,Ağustos,22,2023-08-22,12:52,Ulaşım,Benzin,İzmir,478.14
2024,Ocak,15,2024-01-15,17:07,Giyim,LC Waikiki,İstanbul,287.98
2024,Şubat,6,2024-02-06,11:53,Ulaşım,Benzin,Ankara,206.98
2023,Temmuz,26,2023-07-26,01:43,Ulaşım,Otobüs,İzmir,393.14
2023,Kasım,14,2023-11-11,15:38,Fatura,Su,İstanbul,52.5
2022,Mart,8,2022-03-08,13:25,Fatura,Elektrik,İstanbul,110.0
2023,Nisan,15,2023-04-15,03:54,Ulaşım,Otobüs,İstanbul,207.98
2023,Ekim,15,2023-10-15,14:34,Restoran,Fast Food,İstanbul,77.17
2022,Ağustos,7,2022-08-07,00:49,Giyim,Zara,Ankara,442.66
2022,Ekim,12,2022-10-12,03:34,Ulaşım,Taksi,Ankara,315.0
2023,Mart,28,2023-03-28,16:25,Giyim,LC Waikiki,İstanbul,815.79
2024,Nisan,24,2024-04-26,09:12,Fatura,Elektrik,İstanbul,100.0
2023,Kasım,7,2023-11-07,12:30,Ulaşım,Benzin,İzmir,374.16
2022,Aralık,16,2022-12-19,22:23,Fatura,İnternet,Ankara,88.0
2023,Haziran,22,2023-06-22,15:28,Giyim,LC Waikiki,İstanbul,716.17
2022,Haziran,1,2022-06-01,04:04,Fatura,İnternet,Ankara,88.0
2024,Haziran,6,2024-06-06,14:46,Giyim,LC Waikiki,İstanbul,429.84
2022,Ocak,25,2022-01-23,05:41,Fatura,Elektrik,Ankara,110.0
2024,Temmuz,8,2024-07-26,09:02,Fatura,İnternet,İstanbul,80.0
2022,Ekim,25,2022-10-25,00:08,Giyim,Zara,İstanbul,186.69
2022,Mayıs,15,2022-05-15,13:58,Restoran,Kebap,İzmir,199.21
2022,Ocak,8,2022-01-08,13:01,Ulaşım,Benzin,İstanbul,133.7
2022,Ağustos,7,2022-08-07,18:08,Ulaşım,Otobüs,İstanbul,475.52
2023,Kasım,4,2023-11-04,17:00,Ulaşım,Otobüs,İstanbul,229.92
2024,Ocak,25,2024-01-25,10:44,Ulaşım,Otobüs,İstanbul,203.57
2023,Mayıs,24,2023-05-24,04:05,Ulaşım,Taksi,İzmir,160.74
2024,Şubat,4,2024-02-04,18:11,Giyim,LC Waikiki,İzmir,372.03
2022,Kasım,9,2022-11-09,16:46,Ulaşım,Otobüs,İstanbul,213.93
2023,Ocak,9,2023-01-12,05:32,Fatura,Elektrik,İzmir,105.0
2022,Ağustos,18,2022-08-18,13:19,Ulaşım,Otobüs,Ankara,81.34
2022,Ağustos,14,2022-08-14,10:19,Ulaşım,Taksi,İstanbul,42.97
2024,Temmuz,21,2024-07-21,13:39,Restoran,Kebap,İstanbul,124.39
2022,Ekim,27,2022-10-27,06:21,Ulaşım,Otobüs,İzmir,334.4
2023,Ağustos,7,2023-08-07,20:43,Ulaşım,Taksi,İzmir,244.23
2022,Şubat,16,2022-02-16,13:20,Restoran,Fast Food,İstanbul,152.58
2022,Temmuz,9,2022-07-09,13:02,Ulaşım,Otobüs,Ankara,321.31
2022,Nisan,22,2022-04-22,12:25,Restoran,Pizza,Ankara,130.37
2022,Haziran,6,2022-06-06,12:14,Ulaşım,Benzin,İstanbul,357.49
2022,Haziran,12,2022-06-12,18:27,Giyim,H&M,Ankara,361.17
2024,Şubat,15,2024-02-15,07:24,Ulaşım,Taksi,İstanbul,258.22
2024,Haziran,28,2024-06-28,02:40,Giyim,H&M,İstanbul,439.79
2022,Aralık,4,2022-12-04,21:37,Ulaşım,Otobüs,İstanbul,459.73
2024,Temmuz,8,2024-07-11,15:58,Fatura,İnternet,Ankara,80.0
2024,Nisan,24,2024-04-25,08:21,Fatura,Su,Ankara,50.0
2022,Ekim,25,2022-10-23,16:40,Fatura,Su,İstanbul,55.0
2023,Ocak,14,2023-01-14,19:58,Ulaşım,Taksi,İzmir,300.92
2023,Şubat,14,2023-02-26,01:40,Fatura,İnternet,Ankara,84.0
2024,Mart,1,2024-03-01,21:52,Giyim,Zara,İzmir,73.58
2022,Nisan,28,2022-04-28,22:49,Giyim,Zara,Ankara,479.76
2022,Aralık,16,2022-12-27,23:43,Fatura,Elektrik,İstanbul,110.0
2022,Nisan,7,2022-04-07,09:38,Ulaşım,Otobüs,İstanbul,413.01
2024,Ocak,24,2024-01-24,10:02,Giyim,H&M,İzmir,453.6
2023,Eylül,6,2023-09-06,02:03,Giyim,H&M,İstanbul,377.2
2022,Temmuz,2,2022-07-02,12:39,Ulaşım,Otobüs,İstanbul,482.71
2023,Ekim,27,2023-10-27,12:42,Ulaşım,Benzin,İstanbul,332.46
2024,Haziran,23,2024-06-23,20:17,Ulaşım,Taksi,Ankara,359.27
2022,Aralık,7,2022-12-07,16:58,Ulaşım,Otobüs,Ankara,377.97
2022,Temmuz,12,2022-07-03,19:24,Fatura,Su,Ankara,55.0
2023,Mart,14,2023-03-14,13:38,Restoran,Kebap,İzmir,113.61
2023,Temmuz,12,2023-07-12,19:10,Giyim,Zara,İzmir,811.45
2022,Nisan,5,2022-04-05,15:11,Giyim,Zara,İzmir,244.19
2022,Mayıs,14,2022-05-20,09:21,Fatura,Elektrik,Ankara,110.0
2022,Şubat,6,2022-02-28,03:22,Fatura,Su,İstanbul,55.0
2024,Mayıs,7,2024-05-09,23:48,Fatura,İnternet,İstanbul,80.0
2022,Kasım,7,2022-11-07,13:16,Restoran,Pizza,Ankara,155.05
2023,Ekim,4,2023-10-04,12:00,Restoran,Pizza,Ankara,88.83
2023,Şubat,17,2023-02-17,03:43,Giyim,LC Waikiki,İzmir,104.92
2023,Nisan,2,2023-04-02,06:55,Giyim,LC Waikiki,İzmir,778.59
2022,Eylül,24,2022-09-24,14:49,Restoran,Fast Food,İzmir,155.65
2024,Şubat,19,2024-02-19,12:14,Restoran,Kebap,İstanbul,168.59
2023,Şubat,2,2023-02-02,12:55,Restoran,Kebap,İzmir,32.69
2022,Ekim,25,2022-10-09,07:33,Fatura,Su,Ankara,55.0
2022,Aralık,3,2022-12-03,13:31,Giyim,LC Waikiki,İstanbul,696.31
2024,Mart,27,2024-03-27,10:09,Giyim,H&M,İzmir,94.49
2024,Şubat,18,2024-02-18,13:45,Ulaşım,Benzin,Ankara,338.07
2023,Eylül,24,2023-09-24,14:50,Restoran,Kebap,İzmir,171.7
2022,Temmuz,7,2022-07-07,13:36,Restoran,Kebap,İstanbul,36.71
2023,Mart,18,2023-03-18,11:48,Ulaşım,Benzin,İstanbul,477.42
2024,Temmuz,8,2024-07-08,12:12,Restoran,Pizza,İstanbul,140.36
2024,Nisan,5,2024-04-05,13:02,Restoran,Pizza,Ankara,112.84
2024,Haziran,24,2024-06-21,17:34,Fatura,İnternet,İstanbul,80.0
2023,Mart,2,2023-03-02,02:56,Ulaşım,Taksi,Ankara,163.39
2022,Ağustos,9,2022-08-09,07:31,Giyim,LC Waikiki,Ankara,345.03
2022,Temmuz,21,2022-07-21,18:12,Ulaşım,Otobüs,İstanbul,70.04
2022,Eylül,25,2022-09-25,13:37,Restoran,Fast Food,Ankara,157.74
2023,Mayıs,7,2023-05-07,12:56,Ulaşım,Taksi,İzmir,378.96
2024,Temmuz,18,2024-07-18,00:25,Giyim,LC Waikiki,İzmir,465.27
2023,Ocak,9,2023-01-19,16:47,Fatura,Elektrik,Ankara,105.0
2024,Ocak,9,2024-01-09,14:56,Restoran,Fast Food,İstanbul,175.51
2024,Haziran,24,2024-06-01,03:16,Fatura,Su,Ankara,50.0
2022,Eylül,23,2022-09-23,13:26,Restoran,Pizza,İzmir,131.39
2022,Aralık,28,2022-12-28,14:16,Restoran,Pizza,İstanbul,59.39
2023,Mayıs,2,2023-05-02,18:37,Giyim,LC Waikiki,İzmir,829.89
2023,Haziran,5,2023-06-05,07:47,Ulaşım,Otobüs,İstanbul,414.29
2023,Kasım,14,2023-11-14,00:56,Giyim,LC Waikiki,İstanbul,705.76
2024,Şubat,8,2024-02-08,12:40,Ulaşım,Otobüs,İzmir,148.43
2024,Temmuz,7,2024-07-07,14:35,Restoran,Kebap,İstanbul,144.18
2022,Mayıs,7,2022-05-07,13:56,Restoran,Pizza,İzmir,110.91
2022,Eylül,5,2022-09-05,14:54,Restoran,Fast Food,Ankara,28.92
2022,Nisan,22,2022-04-22,12:05,Restoran,Kebap,İstanbul,154.02
2024,Mart,8,2024-03-08,14:01,Restoran,Pizza,İzmir,134.62
2024,Temmuz,8,2024-07-14,18:30,Fatura,İnternet,İstanbul,80.0
2023,Mayıs,7,2023-05-19,15:44,Fatura,Su,İstanbul,52.5
2022,Kasım,14,2022-11-14,03:43,Giyim,LC Waikiki,İstanbul,955.31
2024,Haziran,9,2024-06-09,07:54,Giyim,LC Waikiki,Ankara,509.55
2022,Kasım,13,2022-11-16,13:40,Fatura,Su,İstanbul,55.0
2022,Şubat,1,2022-02-01,14:37,Restoran,Kebap,Ankara,178.82
2024,Mayıs,8,2024-05-08,14:49,Giyim,Zara,Ankara,478.52
2022,Haziran,1,2022-06-27,05:05,Fatura,Su,Ankara,55.0
2024,Ocak,22,2024-01-22,00:47,Giyim,Zara,İstanbul,386.84
2023,Nisan,25,2023-04-17,20:15,Fatura,Su,İstanbul,52.5
2023,Haziran,16,2023-06-16,11:49,Giyim,H&M,Ankara,230.0
2024,Ocak,19,2024-01-19,13:07,Restoran,Kebap,İstanbul,168.58
2022,Mayıs,14,2022-05-11,19:58,Fatura,Elektrik,Ankara,110.0
2023,Eylül,7,2023-09-07,13:10,Restoran,Kebap,İstanbul,23.19
2022,Şubat,6,2022-02-22,15:30,Fatura,İnternet,Ankara,88.0
2023,Temmuz,19,2023-07-19,01:50,Ulaşım,Otobüs,Ankara,288.14
2022,Ekim,8,2022-10-08,13:37,Restoran,Kebap,İzmir,125.89
2023,Ekim,20,2023-10-18,05:34,Fatura,Elektrik,İzmir,105.0
2023,Eylül,24,2023-09-24,13:10,Restoran,Fast Food,İstanbul,175.07
2024,Haziran,4,2024-06-04,00:17,Ulaşım,Otobüs,İzmir,489.65
2024,Nisan,24,2024-04-27,19:54,Fatura,İnternet,Ankara,80.0
2023,Ekim,28,2023-10-28,14:34,Restoran,Fast Food,İzmir,138.26
2024,Mayıs,14,2024-05-14,12:00,Ulaşım,Otobüs,İzmir,457.82
2024,Haziran,24,2024-06-24,00:04,Ulaşım,Taksi,Ankara,123.58
2024,Temmuz,20,2024-07-20,21:12,Giyim,Zara,İstanbul,460.67
2023,Kasım,21,2023-11-21,13:57,Ulaşım,Benzin,İzmir,266.58
2022,Haziran,26,2022-06-26,08:16,Ulaşım,Taksi,İstanbul,401.83
2023,Mayıs,7,2023-05-02,06:17,Fatura,Elektrik,Ankara,105.0
2023,Aralık,14,2023-12-14,05:35,Giyim,Zara,İstanbul,800.03
2022,Aralık,27,2022-12-27,03:53,Giyim,Zara,İzmir,202.6
2024,Temmuz,8,2024-07-13,19:00,Fatura,Su,İzmir,50.0
2022,Ocak,25,2022-01-18,15:40,Fatura,İnternet,İstanbul,88.0
2023,Ekim,26,2023-10-26,07:00,Giyim,LC Waikiki,Ankara,376.68
2023,Mayıs,26,2023-05-26,16:13,Ulaşım,Taksi,İzmir,197.33
2024,Şubat,27,2024-02-27,01:14,Fatura,Su,Ankara,50.0
2023,Şubat,24,2023-02-24,09:59,Giyim,H&M,İzmir,971.8
2023,Nisan,23,2023-04-23,14:16,Restoran,Pizza,İstanbul,106.88
2024,Mayıs,5,2024-05-05,08:04,Giyim,Zara,Ankara,937.68
2022,Nisan,6,2022-04-06,03:06,Giyim,LC Waikiki,Ankara,329.57
2022,Ağustos,7,2022-08-07,04:18,Ulaşım,Taksi,İstanbul,146.88
2023,Mart,17,2023-03-17,14:35,Restoran,Pizza,Ankara,39.78
2024,Temmuz,26,2024-07-26,14:12,Restoran,Pizza,İstanbul,124.98
2024,Mart,16,2024-03-23,02:46,Fatura,Su,İzmir,50.0
2023,Ekim,20,2023-10-07,09:40,Fatura,İnternet,İzmir,84.0
2023,Temmuz,24,2023-07-24,03:43,Ulaşım,Taksi,İstanbul,441.92
2023,Ekim,20,2023-10-27,11:53,Fatura,Su,İstanbul,52.5
2023,Mayıs,7,2023-05-07,03:03,Fatura,Elektrik,İstanbul,105.0
2023,Nisan,2,2023-04-02,07:53,Ulaşım,Otobüs,Ankara,447.08
2022,Ekim,28,2022-10-28,09:23,Giyim,Zara,Ankara,260.7
2022,Ocak,25,2022-01-12,15:35,Fatura,İnternet,Ankara,88.0
2024,Mart,11,2024-03-11,12:40,Restoran,Fast Food,İzmir,87.3
2023,Mayıs,21,2023-05-21,14:43,Restoran,Fast Food,İstanbul,35.79
2022,Ekim,25,2022-10-14,01:10,Fatura,Su,İstanbul,55.0
2023,Eylül,9,2023-09-09,11:40,Giyim,LC Waikiki,Ankara,612.25
2024,Mayıs,7,2024-05-11,16:52,Fatura,Su,İzmir,50.0
2023,Eylül,19,2023-09-19,11:54,Ulaşım,Benzin,Ankara,62.33
2023,Nisan,24,2023-04-24,13:18,Restoran,Pizza,Ankara,50.73
2023,Mart,26,2023-03-19,02:48,Fatura,İnternet,İstanbul,84.0
2022,Nisan,10,2022-04-10,14:07,Restoran,Kebap,İstanbul,90.87
2023,Eylül,23,2023-09-23,20:18,Giyim,Zara,Ankara,131.75
2022,Haziran,20,2022-06-20,21:35,Giyim,Zara,İzmir,185.25
2022,Eylül,23,2022-09-23,13:36,Restoran,Kebap,İstanbul,31.58
2022,Nisan,28,2022-04-24,17:15,Fatura,Elektrik,İstanbul,110.0
